Nom;Taille de la boite;Nb de joueurs;Temps;Categorie;Duplicata;Image
It's a wonderful world;Grand;1a5;45 min;Gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Race for the galaxy;;;;;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Photosynthesis;Grand;2 a4;45 min a 1h;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Res Arcana;Grand;2a4;30 min a 1h;Deckbuilding;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Res Arcana extension : Perlae Imperii;;;;;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Loup Garou;;;;;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
King of Tokyo;Grand;2a6;40 min;Strategie, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Abyss;Grand;02-avr;45 min;Gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Tu te mets combien;Grand;2a16;42 min a 1h37 min;Culture G;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Dice Forge;Grand;2a4;45 min;Gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Codenames (ancienne edition);Moyen;2a8;15 min;Reflexion, coop;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Les loups garous de Tiercelieux extension : Le village;;;;independante;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Cluedo;Grand;3a6;30 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Unlock : mystery adventures;Grand;1a6;1h;Escape game;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Orz;Petit;2a10;5 min;Jeu de Cartes;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Dixit extension : odyssey;;;;independante;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
OleMains ! Buffalo grill;Petit;2a16;30 min;Soiree;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Caylus Magna Carta;Moyen;2a4;45 a 75 min;Gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Unlock : extraordinary adventures;Grand;1a6;1h;Escape game;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
